"Year","Name","Location","Country","Elevation","Type","Volcano Explosivity Index (VEI)","DEATHS"
1872,"Aso","Kyushu-Japan","Japan",1592,"Caldera",3,4
1872,"Sinarka","Kuril Is","Russia",934,"Stratovolcano",4,
1873,"Ragang","Mindanao-Philippines","Philippines",2815,"Stratovolcano",2,
1874,"Miyake-jima","Izu Is-Japan","Japan",815,"Stratovolcano",3,1
1874,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",2,
1875,"Kelut","Java","Indonesia",1731,"Stratovolcano",0,
1875,"Askja","Iceland-NE","Iceland",1516,"Stratovolcano",5,
1877,"Mauna Loa","Hawaiian Is","United States",4170,"Shield volcano",0,
1877,"Cotopaxi","Ecuador","Ecuador",5911,"Stratovolcano",4,340
1878,"Yasur","Vanuatu-SW Pacific","Vanuatu",361,"Stratovolcano",3,
1878,"Rabaul","New Britain-SW Pac","Papua New Guinea",688,"Pyroclastic shield",3,1
1878,"Yasur","Vanuatu-SW Pacific","Vanuatu",361,"Stratovolcano",,
1878,"Okmok","Aleutian Is","United States",1073,"Shield volcano",2,
1879,"Stromboli","Italy","Italy",926,"Stratovolcano",2,
1883,"Karthala","Indian O-W","Comoros",2361,"Shield volcano",2,
1883,"Krakatau","Indonesia","Indonesia",813,"Caldera",6,2000
1883,"Augustine","Alaska-SW","United States",1252,"Lava dome",4,8
1883,"Krakatau","Indonesia","Indonesia",813,"Caldera",,
1883,"Bagana","Bougainville-SW Paci","Papua New Guinea",1750,"Lava cone",3,
1884,"Krakatau","Indonesia","Indonesia",813,"Caldera",,
1884,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,74
1885,"Purace","Colombia","Colombia",4650,"Stratovolcano",3,
1886,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",4,2
1886,"Okataina","New Zealand","New Zealand",1111,"Lava dome",2,153
1886,"Niuafo'ou","Tonga-SW Pacific","Tonga",260,"Shield volcano",4,
1887,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,15
1888,"Ritter Island","New Guinea-NE of","Papua New Guinea",140,"Stratovolcano",3,
1888,"Bandai","Honshu-Japan","Japan",1819,"Stratovolcano",4,461
1889,"Banua Wuhu","Sangihe Is-Indonesia","Indonesia",-5,"Submarine volcano",2,
1890,"Makian","Halmahera-Indonesia","Indonesia",1357,"Stratovolcano",2,
1890,"Victory","New Guinea","Papua New Guinea",1925,"Stratovolcano",2,
1892,"Sorikmarapi","Sumatra","Indonesia",2145,"Stratovolcano",2,180
1892,"Awu","Sangihe Is-Indonesia","Indonesia",1320,"Stratovolcano",3,1532
1893,"Azuma","Honshu-Japan","Japan",2024,"Stratovolcano",2,2
1894,"Ambrym","Vanuatu-SW Pacific","Vanuatu",1334,"Pyroclastic shield",3,10
1895,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,
1895,"Karkar","New Guinea-NE of","Papua New Guinea",1839,"Stratovolcano",2,21
1895,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",2,4
1895,"Dakataua","New Britain-SW Pac","Papua New Guinea",400,"Caldera",2,
1896,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",2,1
1897,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,350
1899,"Dona Juana","Colombia","Colombia",4150,"Stratovolcano",4,55
1899,"Manam","New Guinea-NE of","Papua New Guinea",1807,"Stratovolcano",2,2
1900,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,25
1900,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",2,2
1900,"Adatara","Honshu-Japan","Japan",1718,"Stratovolcano",2,72
1900,"Tullu Moje","Africa-NE","Ethiopia",2349,"Pumice cone",,
1901,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1901,"Epi","Vanuatu-SW Pacific","Vanuatu",833,"Stratovolcano",,
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",,23
1902,"Soufriere St. Vincent","W Indies","St. Vincent & the Grenadines",1220,"Stratovolcano",4,1680
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",4,28000
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",,
1902,"Tori-shima","Izu Is-Japan","Japan",403,"Stratovolcano",3,125
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",4,1000
1902,"Santa Maria","Guatemala","Guatemala",3772,"Stratovolcano",6,1500
1902,"Merapi","Java","Indonesia",2947,"Stratovolcano",2,16
1903,"Okataina","New Zealand","New Zealand",1111,"Lava dome",1,4
1904,"Karthala","Indian O-W","Comoros",2361,"Shield volcano",2,1
1905,"Vesuvius","Italy","Italy",1281,"Complex volcano",2,1
1905,"Savai'i","Samoa-SW Pacific","Samoa",1858,"Shield volcano",2,
1906,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,350
1907,"Unnamed","Tonga-SW Pacific","Tonga",-500,"Submarine volcano",0,
1907,"Alayta","Africa-NE","Ethiopia",1501,"Shield volcano",2,
1907,"Lewotobi","Lesser Sunda Is","Indonesia",1703,"Stratovolcano",2,1
1907,"Savai'i","Samoa-SW Pacific","Samoa",1858,"Shield volcano",,
1909,"Cameroon, Mt.","Africa-W","Cameroon",4095,"Stratovolcano",2,
1909,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,221
1910,"Usu","Hokkaido-Japan","Japan",731,"Stratovolcano",2,1
1911,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",4,1335
1911,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,1
1911,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,
1911,"Piparo","Trinidad","Trinidad ",140,"Mud volcano",,
1911,"Semeru","Java","Indonesia",3676,"Stratovolcano",3,
1912,"Novarupta","Alaska Peninsula","United States",841,"Caldera",6,2
