,Age,dTS,CO2
162,208177,-4.314461538461538,237.2
163,208794,-3.59784,230.0
164,209073,-3.6947967479674797,240.5
165,209414,-3.117272727272727,242.2
166,210022,-3.234516129032258,244.6
167,210232,-2.5650847457627117,243.9
168,210830,-2.2431896551724138,247.3
169,211005,-2.2075862068965515,252.0
170,211476,-2.532268907563025,246.9
171,211929,-2.2101694915254235,239.5
172,212281,-2.094869565217391,257.4
173,213005,-1.6380530973451326,243.4
174,214153,-1.4867256637168142,251.2
175,215041,-1.6553913043478259,241.4
176,215593,-1.1781081081081082,240.3
177,215879,-1.5672413793103448,242.7
178,216459,-2.1333884297520664,247.5
179,217009,-1.2094736842105263,251.7
180,217271,-0.8985714285714286,251.2
181,217574,-1.193859649122807,245.3
182,217676,-1.184,245.4
183,218342,-2.118048780487805,240.5
184,219679,-3.1627067669172932,214.1
185,219680,-3.1670676691729325,212.2
186,220042,-4.299444444444444,216.1
187,220182,-4.2506896551724145,216.2
188,220758,-4.359932432432432,203.7
189,220760,-4.35331081081081,207.2
190,221054,-5.015695364238411,208.9
191,221612,-6.010000000000001,205.7
192,222958,-6.878983050847458,203.4
193,223446,-7.346378378378378,215.7
194,224630,-6.913222222222222,236.9
195,225299,-6.068235294117647,234.5
196,225509,-5.279386503067485,233.1
197,225888,-6.546551724137931,224.5
198,226710,-6.475454545454546,232.4
199,227384,-7.478167539267016,233.9
200,227840,-6.882445652173913,241.7
201,230703,-5.949659090909091,245.2
202,231382,-5.117904191616767,252.1
203,231990,-4.529068322981367,241.4
204,232570,-4.198427672955975,247.4
205,233102,-3.4673202614379086,243.1
206,233646,-2.987785234899329,239.2
207,234126,-2.776712328767123,245.7
208,234470,-2.22,245.9
209,234781,-2.4933566433566434,247.4
210,235213,-2.1383098591549294,252.9
211,236236,-1.4051470588235293,259.8
212,236851,-0.7687022900763358,263.2
213,237831,1.9111711711711712,279.0
214,238199,1.8933035714285713,280.3
215,238935,0.86,263.8
216,239250,0.4499212598425197,252.4
217,239545,-0.7550735294117648,249.9
218,239866,-2.0165986394557827,236.7
219,240201,-2.4966225165562914,230.4
220,240577,-3.451349693251534,219.4
221,242068,-6.005714285714285,214.7
222,243653,-5.782974358974359,200.2
223,244215,-6.871267605633803,213.9
224,244863,-7.025555555555556,195.4
225,245483,-6.626824644549763,196.7
226,246090,-7.034027777777778,195.4
227,247447,-6.680372093023256,199.0
228,248087,-7.119189189189189,201.9
229,248980,-7.081447963800905,204.0
230,250461,-5.968634146341463,203.9
231,251521,-6.486697247706422,209.7
232,252174,-6.907356828193833,205.7
233,252959,-6.482811059907834,208.9
234,253880,-6.647699115044247,214.7
235,255233,-5.860277777777777,228.2
236,256053,-6.3646875000000005,199.9
237,256501,-6.922987012987013,211.7
238,257247,-7.4284897959183676,188.7
239,257792,-7.739759036144578,187.2
240,258477,-7.678095238095238,194.2
241,259228,-8.087003891050584,198.9
242,259958,-8.23895752895753,184.7
243,260754,-8.473886792452829,190.4
244,261595,-8.196315789473683,193.9
245,262411,-8.29593984962406,194.2
246,263207,-8.128867924528302,198.4
247,264046,-8.43631970260223,193.2
248,264834,-7.858403041825095,202.2
249,265703,-8.254,204.5
250,266492,-7.669619771863118,211.0
251,267434,-7.645747126436782,215.4
252,268679,-6.6112851405622495,223.7
253,270680,-5.7509787234042555,231.4
254,272275,-4.600896860986547,228.0
255,273012,-4.406,226.4
256,273910,-4.380995475113122,231.4
257,274445,-3.805981308411215,230.4
